Order_ID,Date,Product,Quantity,Unit_Price,Region,Sales_Rep,Customer_Email,Discount
ORD068,2024-09-02,Laptop,16,66.43,south,Bob Johnson,customer67@email.com,0.18
ORD042,2024-01-15,Monitor,5,50.13,West,Bob Johnson,customer41@email.com,
ORD063,2024-06-25,Webcam,12,68.53,North,John Doe,customer62@email.com,
ORD163,2024-09-24,USB Cable,4,127.44,East,Jane Smith,customer162@email.com,
ORD171,2024-05-24,Webcam,8,348.22,South,jane smith,customer170@email.com,0.15
ORD045,2024-08-26,Keyboard,17,385.19,East,Jane Smith,customer44@email.com,0.0
ORD123,2024-10-07,Headphones,9,150.46,West,jane smith,customer122@email.com,0.02
ORD021,2024-05-21,Webcam,10,183.47,South,John Doe,INVALID,0.2
ORD159,2024-04-16,Headphones,6,107.39,South,John Doe,customer158@email.com,
ORD166,2024-02-16,Keyboard,12,345.49,NORTH,Alice Williams,customer165@email.com,
ORD101,2024-08-01,Laptop,11,122.13,south,Alice Williams,customer100@email.com,0.28
ORD056,2024-12-25,Mouse,4,357.06,South,John Doe,customer55@email.com,0.05
ORD074,2024-03-22,Monitor,7,180.65,South,John Doe,INVALID,
ORD124,2024-07-28,Webcam,1,306.13,south,Alice Williams,customer123@email.com,
ORD165,,Headphones,,444.7,West,Alice Williams,customer164@email.com,0.24
ORD194,2024-10-23,Mouse,15,,North,Bob Johnson,customer193@email.com,0.11
ORD129,2024-09-16,Webcam,20,446.31,south,Bob Johnson,customer128@email.com,0.01
ORD121,2024-05-10,Monitor,4,319.81,east,Bob Johnson,customer120@email.com,0.17
ORD117,2024-04-22,Laptop,17,66.05,South,Alice Williams,customer116@email.com,0.1
ORD195,2024-04-12,Mouse,17,149.95,West,John Doe,customer194@email.com,0.12
ORD055,2024-06-02,Mouse,3,,West,Jane Smith,customer54@email.com,
ORD199,2024-01-31,Mouse,11,,East,Alice Williams,customer198@email.com,
ORD072,2024-06-11,Mouse,15,239.92,east,John Doe,customer71@email.com,0.03
ORD041,2024-08-23,Mouse,2,66.38,east,John Doe,customer40@email.com,0.18
ORD076,2024-04-10,USB Cable,2,307.14,North,Bob Johnson,customer75@email.com,
ORD198,2024-02-03,Monitor,,101.31,South,Alice Williams,customer197@email.com,
,2024-02-09,Headphones,13,102.94,NORTH,jane smith,customer15@email.com,
